review_text,F,BR,AU,FI,IR,A,L,LF,MN,O,PE,SC,SE,US,PO
Make it like better with a giant pig bigger than king pig.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
These screens are small enough without crowding in more stuff.Tuck it in with the rest of the add ons I never use and please get it out of my face!,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Dear Rovio; If you absolutely must continue trying to squeeze dollars from your customers this way, at least have the decency to include an opt out for those like myself who are absolutely NOT going to spend an amount equal to what I paid for the app in the first place just to have some gimmicky and expendable in game item.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
App crashes when new power up notice pops up.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
It would be nice to have an update that didnt crash the app.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
App crashes with new release.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
I have had no problems with any of the versions so far.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Please bring back the trajectory line or at least make it to where you can turn it on or off.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
This is not worth buying it will crash right from the beginning.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
I will say you should make shock so close to the other buttons because I like to use the birds you provide.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
That needs to change,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Similarly every single app that gets updated to a beautiful, ios7 look is one I will not update.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
This should Really be fixed!,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
And you still cant upload videos!!,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Is it just me, or is anyone else having the problem where the app wont even open at all?",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
I need to save my photos.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ive never had any issues with it and have been a user for years.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The app doesnt work unless you have the iOS 7 update and not all devices have that update so they should really fix this.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
I now see that you must have IOS7 or better for the app.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Please, please give us the ability to rename files from this app.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ill rate 5 once you can view,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
I still cannot believe that the team at Dropbox STILL hasn?,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Sez needs software update but Apple sez software is uptodate.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
It would allow me to get work done on my phone and edit files on the go for projects.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Only thing is they need to offer better customized pricing for upgrade plans.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Please, please FIX this video upload issue.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"\nI would turn off automatic uploads, but i need my regular photos to upload.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Please please please these are easy changes...it used to be this way so make it go back!!!,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Please fix the syncing issues with the iPad app.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trying to automate it would be good if it worked, but it doesnt. ,",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Why everything is so white?,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The pictures show a white background just like the iOS7 photo app.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"U Dropbox employers improved mostly everything, but in the app it should have the ability to rename files, whereas the web version can.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ask me if I would like to use background uploading only once and remember my preference dont pester me every time I open the app to turn that feature on.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Ive been a loyal EN fan for years but just this week it s frozen and after reinstalling on both my iPad and iPhone, it crashes each time I open it.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Holidays are here and Im a disorganized mess without EN!,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"For some reason, it doesnt quite feel user friendly to me just yet.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
And its all available on iPad and iPhone.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Latest version crashes on launch on my iPad in iOS 7.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
I need my notes!,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Contacted Evernote support.....they are working on the fix.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
240 notes I cant see.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
It crashes all the time and the only way I can resolve is uninstall/reinstall the app.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The new version crashes on startup on my iPhone and iPad.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Deleting app and reinstalling does not work either.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The latest version crashes on launch for my iPhone 5s.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
This is the third update in 3 months that has crashed upon installation for me.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Just crashes.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Got the latest update and now it will not open on my phone.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Please fix this ASAP.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Now, it crashes when loading.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Please fix it!,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"The latest interface is substandard from a useability standpoint besides being ugly, and the latest version will not launch on my iPhone 5.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Do not update.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Latest update crashes every time on startup on 5S.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
I count on Evernote for many things across many devices but now the app just crashes on my iPhone 5.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Please fix it or at least let us know you are working on this ,",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Latest update crashes!,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
